municipality;site;pt_locality;date;time;temperature_C;wind_m/s;precipitation ;method;color;species;sex;caste;ID;identifyed_by;captured_by;taxonomy;state;periode;netting_group;trap_ID;site_ID;;;;;;;;;
austrheim;krossøy;NA;18/08/2022;11:00;12,90;3,60;0;net;NA;B. muscorum;f;worker ;139;zazzera;zazzera;bombus;open;last;A;H15;3;;;;;;;;;
austrheim;krossøy;NA;18/08/2022;11:00;12,90;3,60;0;net;NA;B. muscorum;f;worker ;140;zazzera;zazzera;bombus;open;last;A;H15;3;;;;;;;;;
austrheim;krossøy;NA;18/08/2022;11:00;12,90;3,60;0;net;NA;B. muscorum;f;worker ;141;zazzera;zazzera;bombus;open;last;A;H15;3;;;;;;;;;
austrheim;krossøy;NA;18/08/2022;11:00;12,90;3,60;0;net;NA;B. muscorum;f;worker ;142;zazzera;zazzera;bombus;open;last;A;H15;3;;;;;;;;;
austrheim;krossøy;NA;18/08/2022;11:00;12,90;3,60;0;net;NA;B. muscorum;f;queen;143;zazzera;zazzera;bombus;open;last;A;H15;3;;;;;;;;;
austrheim;øksnes;NA;18/08/2022;13:00;13,80;2,30;0;net;NA;B. jonellus;f;worker;144;zazzera;zazzera;bombus;open;last;A;H16;1;;;;;;;;;
austrheim;øksnes;NA;18/08/2022;13:00;13,80;2,30;0;net;NA;complex;m;drone;145;zazzera;zazzera;bombus;open;last;A;H16;1;;;;;;;;;
austrheim;øksnes;NA;18/08/2022;13:00;13,80;2,30;0;net;NA;B. pascuorum;f;worker ;146;zazzera;zazzera;bombus;open;last;A;H16;1;;;;;;;;;
austrheim;øksnes;NA;18/08/2022;13:00;13,80;2,30;0;net;NA;complex;m;drone;147;zazzera;zazzera;bombus;open;last;A;H16;1;;;;;;;;;
austrheim;øksnes;NA;18/08/2022;13:00;13,80;2,30;0;net;NA;complex;m;drone;148;zazzera;zazzera;bombus;open;last;A;H16;1;;;;;;;;;
austrheim;øksnes;NA;18/08/2022;13:00;13,80;2,30;0;net;NA;complex;f;worker;149;zazzera;zazzera;bombus;open;last;A;H16;1;;;;;;;;;
austrheim;øksnes;NA;18/08/2022;13:00;13,80;2,30;0;net;NA;complex;m;drone;150;zazzera;zazzera;bombus;open;last;A;H16;1;;;;;;;;;
austrheim;øksnes;NA;18/08/2022;13:00;13,80;2,30;0;net;NA;B. jonellus;f;worker;151;zazzera;zazzera;bombus;open;last;A;H16;1;;;;;;;;;
alver;byngja;NA;23/08/2022;14:00;20,40;5,10;0;net;NA;B. soroeensis;f;worker;152;zazzera;zazzera;bombus;open;last;B;H19;2;;;;;;;;;
